wanikani	word	reading	sense 1	sense 2	sense 3	url
13	駅長	えきちょう	station master	Station master		http://jisho.org/word/%E9%A7%85%E9%95%B7
13	神風	かみかぜ	divine wind (esp. a typhoon thought to have protected Japan from a Mongolian invasion in the 13th century)	kamikaze	Kamikaze (typhoon)	http://jisho.org/word/%E7%A5%9E%E9%A2%A8
13	特選	とくせん	special selection, special approval	special prize, highest honours		http://jisho.org/word/%E7%89%B9%E9%81%B8
13	入館料	にゅうかんりょう	admission fee			http://jisho.org/word/%E5%85%A5%E9%A4%A8%E6%96%99
13	右利き	みぎきき	right-handedness, right-handed person, right-hander			http://jisho.org/word/%E5%8F%B3%E5%88%A9%E3%81%8D
13	酒好き	さけずき	love of drink, fondness for alcohol, person who likes to drink, drinker			http://jisho.org/word/%E9%85%92%E5%A5%BD%E3%81%8D
13	心願	しんがん	prayer, heartfelt wish			http://jisho.org/word/%E5%BF%83%E9%A1%98
13	見返る	みかえる	to look back			http://jisho.org/word/%E8%A6%8B%E8%BF%94%E3%82%8B
14	運動会	うんどうかい	athletic meet (esp. at a school), sports day, field day	Sports day		http://jisho.org/word/%E9%81%8B%E5%8B%95%E4%BC%9A
14	水着	みずぎ	bathing suit, swimsuit, swimmers	Swimsuit		http://jisho.org/word/%E6%B0%B4%E7%9D%80
14	骨格	こっかく	skeleton, skeletal structure, build, frame, physique	framework	Skeleton	http://jisho.org/word/%E9%AA%A8%E6%A0%BC
14	人参	にんじん	carrot (Daucus carota)	Asian ginseng (Panax ginseng)	Carrot	http://jisho.org/word/%E4%BA%BA%E5%8F%82
14	待たせる	またせる	to keep (a person) waiting			http://jisho.org/word/%E5%BE%85%E3%81%9F%E3%81%9B%E3%82%8B
14	残業	ざんぎょう	overtime (work)			http://jisho.org/word/%E6%AE%8B%E6%A5%AD
14	一周	いっしゅう	one round, one circuit, one revolution, one lap, one turn			http://jisho.org/word/%E4%B8%80%E5%91%A8
14	周年	しゅうねん	whole year, entire year	n-th year anniversary		http://jisho.org/word/%E5%91%A8%E5%B9%B4
14	願望	がんぼう	desire, wish, aspiration			http://jisho.org/word/%E9%A1%98%E6%9C%9B
14	近代的	きんだいてき	modern			http://jisho.org/word/%E8%BF%91%E4%BB%A3%E7%9A%84
14	一例	いちれい	example, an instance			http://jisho.org/word/%E4%B8%80%E4%BE%8B
14	念願	ねんがん	one's heart's desire, one's dearest wish			http://jisho.org/word/%E5%BF%B5%E9%A1%98
14	芸人	げいにん	performer (esp. of a traditional art), entertainer	(TV) comedian	talented person, accomplished person	http://jisho.org/word/%E8%8A%B8%E4%BA%BA
14	意図的	いとてき	intentional, on purpose			http://jisho.org/word/%E6%84%8F%E5%9B%B3%E7%9A%84
14	山登り	やまのぼり	mountain climbing, mountaineering			http://jisho.org/word/%E5%B1%B1%E7%99%BB%E3%82%8A
14	例文	れいぶん	example sentence, illustrative sentence, model sentence			http://jisho.org/word/%E4%BE%8B%E6%96%87
14	悪気	わるぎ	ill will, malice, evil intent			http://jisho.org/word/%E6%82%AA%E6%B0%97
14	旅行者	りょこうしゃ	traveller, traveler			http://jisho.org/word/%E6%97%85%E8%A1%8C%E8%80%85
14	気持ち悪い	きもちわるい	bad feeling, feeling bad, disagreeable, unpleasant, revolting, gross, disgusting			http://jisho.org/word/%E6%B0%97%E6%8C%81%E3%81%A1%E6%82%AA%E3%81%84
14	性病	せいびょう	venereal disease, sexually transmitted infection, sexually transmitted disease, VD, STI, STD			http://jisho.org/word/%E6%80%A7%E7%97%85
14	待ちぼうけ	まちぼうけ	waiting in vain			http://jisho.org/word/%E5%BE%85%E3%81%A1%E3%81%BC%E3%81%86%E3%81%91
14	文化祭	ぶんかさい	school festival, cultural festival, annual open day school event showcasing student talent	Japanese Cultural Festival		http://jisho.org/word/%E6%96%87%E5%8C%96%E7%A5%AD
14	流行歌	りゅうこうか	popular song, hit song	Ryūkōka		http://jisho.org/word/%E6%B5%81%E8%A1%8C%E6%AD%8C
14	芸能界	げいのうかい	show business, entertainment industry, world of entertainment			http://jisho.org/word/%E8%8A%B8%E8%83%BD%E7%95%8C
14	消化不良	しょうかふりょう	indigestion, dyspepsia	incomprehensibility, inability to understand		http://jisho.org/word/%E6%B6%88%E5%8C%96%E4%B8%8D%E8%89%AF
14	流行語	りゅうこうご	buzzword, vogue word, popular phrase			http://jisho.org/word/%E6%B5%81%E8%A1%8C%E8%AA%9E
14	待合	まちあい	rendezvous, meeting, assignation	area where guests gather before the start of a tea ceremony	waiting room	http://jisho.org/word/%E5%BE%85%E5%90%88
14	芸者	げいしゃ	geisha, professional female entertainer, usu. at traditional banquets			http://jisho.org/word/%E8%8A%B8%E8%80%85
14	松葉	まつば	pine needle			http://jisho.org/word/%E6%9D%BE%E8%91%89
14	深さ	ふかさ	depth, profundity			http://jisho.org/word/%E6%B7%B1%E3%81%95
14	回転寿司	かいてんずし	conveyor belt sushi, sushi-go-round, sushi train, kaiten-zushi	Conveyor belt sushi		http://jisho.org/word/%E5%9B%9E%E8%BB%A2%E5%AF%BF%E5%8F%B8
14	言葉付き	ことばつき	speech, expression, wording, language			http://jisho.org/word/%E8%A8%80%E8%91%89%E4%BB%98%E3%81%8D
14	人性	じんせい	human nature, instinct, humanity, humanism			http://jisho.org/word/%E4%BA%BA%E6%80%A7
